titles,released,developers,publishers,id,summary,storyline,genres
Tibia,1997,CipSoft GmbH,CipSoft GmbH,9596,"Tibia is one of the oldest and most successful massively multiplayer online role-playing games (MMORPG) created in Europe. In an MMORPG people from all over the world meet on a virtual playground to explore areas, solve tricky riddles and undertake heroic exploits.",,"[12, 31]"
Tick! Tack!,2005,Navel,Navel,93978,,,[]
Tiger Woods PGA Tour 2005,2004,EA Sports,EA Games,906,Tiger Woods PGA Tour 2005 further refined the character creation system and added new features such as Tiger Proofing and Legends Matches,,[14]
Tiger Woods PGA Tour 06,2005,EA Sports,EA Games,903,"Tiger Woods PGA Tour 06 is a golf video game in the PGA Tour series available for PlayStation Portable, PlayStation 2, Xbox, Xbox 360, GameCube, Mobile phones, and PC.The game features several types of play, including the development of golfers in a simulated PGA Tour environment. Among other things, the game also features a set of famous courses and players. Also it includes the Stroke Play, Match Play, and Skins Play among other numerous methods of play. It also includes the Four Ball, Best Ball, and Stableford modes of play.By being able to customize golfers and advancing that character through several stages (from amateur to pro) the game allows a high level of identification with the character. The virtual ego can be equipped with various pieces of equipment and styled according to the wishes of the player. The custom outfits are licensed and include several brands which are commonly present in professional golf, among others: Nike, Adidas, Callaway, Ping, Taylormade etc.",,[14]
Tiger Woods PGA Tour 07,2006,EA Sports,EA Games,5220,"This golfing simulation game is the 2007 multi-platform edition of Electronic Arts' Tiger Woods PGA Tour franchise. Although the game's features differ across platforms, most notably from next-gen to current-gen, it has a few things in common across the board: more licensed players, more courses, more game modes, and improved GameFace character creation.",,[14]
Tiger Woods PGA Tour 08,2007,EA Tiburon,EA Sports,5221,"The game incorporates the FedExCup championship format (a collection of tournaments) with rounds of golf at Westchester Country Club, TPC Boston, Cog Hill, and East Lake. The putt preview has been improved, allowing the player to simulate the ball's path once per individual spot, taking into accounts elements such as power, speed and elevation. On the Xbox 360 and the PS3, shots are not performed using the analog stick, but with the 3-point timed principle for start, power and accuracy. Shot Confidence is a new addition, keeping track of the player's performance on certain courses, for specific puts and using certain clubs. Great performances raise the confidence, which translates into experience and better performance on specific courses. Low confidence leads to lower accuracy, a pumping heartbeat, and rumbling controls on the Wii.On the Wii, players can shake the controls to taunt the opponents with 4 different moves, to throw them off. It can be used to influence air conditions, spin, or adds audio distractions. The controls are available in 3 modes: Full Swing (wii remote), Sitting Swing (new, waggle the wii remote) or the classic controls using the nunchuck for analog play. In Full Swing, twisting the wii remote adds hooks and slices prior to shots. Also exclusive to the Wii is a Miniputt mode.",,"[13, 14]"
Time Commando,1996,Adeline Software International,"Electronic Arts, Activision",9646,"A deadly virus has invaded the military's top secret computer. Thrust into a deadly time warp. You must battle your way through history and the future, racing against time to restore the computer memory before a growing computer virus becomes invincible. Prepare yourself of the most brutal trip through time ever.",,"[4, 31, 33]"
The Time Warp of Dr. Brain,1996,Sierra Entertainment,Sierra Entertainment,72309,,,[]
Timelapse,1996,GTE Interactive Media,GTE Interactive Media,12485,Your friend Professor Nichols has gone missing. Armed with the archeologist's journal you set out on a journey that will take you to places - and times - you haven't even dreamt of.,,"[2, 31]"
Timeline,2000,Timeline Computer Entertainment,Eidos Interactive,50917,"You are part of a team of archeologists excavating an historic region of modern day France. Your team leader, Professor Johnston, has mysteriously disappeared leaving behind an unexpected videotape addressed to you with an imperative request. Now you must travel back to fourteenth century France to rescue him.",,[31]
TimeShift,2007,Saber Interactive,Vivendi Games,2030,"Master time to become the ultimate weapon! Dr. Aiden Krone has made a Time Jump across the space-time continuum - a reckless act with frightening consequences. Now, a disturbing alternate reality has evolved within the bleak and rain-soaked Alpha District.",,[5]
Timon & Pumbaa's Jungle Games,1995,7th Level,Disney Interactive,72032,"Timon and Pumbaa's Jungle Games consists of five mini-games featuring Timon and Pumbaa, as well as other jungle animals from The Lion King.  The games are as follows: Jungle Pinball – a pinball game where the board is filled with animals instead of bumpers.  Burper – a shooter type game, using Pumbaa to belch gas.  Hippo Hop – concept similar to Frogger, as well as a game where Timon tries jumping across the river without falling in.  Bug Drop – based on Puyo Puyo.  Slingshooter – a slingshot game using berries to hit certain objects such as animals, cardboard targets, and bugs not counting Timon and Pumbaa as targets.",,[33]
Tintin: Destination Adventure,2001,Destination Software,Infogrames,43902,"Tintin: Destination Adventure is a video game loosely based on the series The Adventures of Tintin, the comics series by Belgian cartoonist Hergé.  The game was never released in the United States and the PlayStation version can only be played on U.S. machines with a modchip.",,"[10, 31]"
Tintin in Tibet,1996,Infogrames,Infogrames,46493,"Re-live the adventures of Tintin on the search for his friend Chang. What happened to Chang after the crash of the DC3 on the way to Kotmondu? Set off with Tintin to Tibet where all along your exciting journey you'll find vital items to aid your progress and interrogate the locals for helpful advice. You'll face many a danger as you examine the aeroplane wreck, climb on steep rock walls and meet the legendary Yeti.",,"[8, 31]"
Tiny Brains,2013,Spearhead Games,505 Games,7649,"""Tiny Brains"" is a cooperative puzzle that follows four super-powered lab animals in their attempt to escape a mad scientist's experiments. In this joyously chaotic multiplayer game, the four ""Tiny Brains"" must combine their unique physics-based powers to navigate through a trick-ridden maze.All of the puzzles in ""Tiny Brains"" can be solved multiple ways depending on how groups combine their powers.Attractive to both hardcore and casual fans, the game has competitive leaderboards and challenging fast paced communicative play along with simple controls so players of any level can jump right in.",,"[8, 9, 31, 32]"
Tiny Toon Adventures: Buster and the Beanstalk,1996,Terraglyph Interactive,Terraglyph Interactive,8053,Tiny Toon Adventures: Buster and the Beanstalk is a video game released for the PC.,,[2]
TiQal,2008,Slapdash Games,Microsoft Game Studios,21354,"Tinker is an isometric puzzle game released originally as part of the Windows Vista Ultimate Extras program, then re-released and upgraded as a free Games For Windows - LIVE title for their Games On Demand service.",,[9]
Titan Quest,2006,Iron Lore Entertainment,THQ,8311,"Titan Quest is an action role playing hack and slash video game developed by Iron Lore Entertainment. It was released worldwide by THQ on June 26, 2006. The game was released on Steam, along with the expansion Titan Quest: Immortal Throne, on July 17, 2007. The game is also available via Impulse, GamersGate, GameTap, Direct2Drive and OnLive. In 2013, the IP for Titan Quest, along with most of THQ's other games was purchased by Nordic Games.","Titan Quest is based on the end of communication between the gods and humanity. The main character (whose name and sex can be chosen by the player) begins the quest on a dirt road near a small village named Helos. The world has been overrun by beasts and creatures (drawn largely from mythology) that are terrorizing the countryside wrecking harvests, burning temples, invading villages and cemeteries, besieging cities etc. After being sent on a mission to Delphi by the Spartan general Leonidas, the story revolves around the fictional order of Prometheus and their efforts to restore balance to the world. The hero finds centaurs, harpies, automatons, spiders and scorpions, yetis, undead soldiers and other such monsters derived from myth, relentlessly guarding the way and trying to prevent him from reaching the next village or town. The hero must occasionally face stronger 'miniboss' monsters, usually as part of a side quest. Bosses also appear at intervals generally guarding a main quest item, transportation device, quest NPC, etc. The player faces a boss enemy (called telkines) at the end of each 'act' (Greece, Egypt and The Orient) and faces a final boss enemy at Mount Olympus, the Titan Typhon.","[12, 25]"
Titan Quest: Immortal Throne,2007,Iron Lore Entertainment,THQ,8312,"Titan Quest: Immortal Throne is an expansion to the 2006 action role-playing hack and slash video game Titan Quest developed by Iron Lore Entertainment. Like Titan Quest, Immortal Throne is a single player and multiplayer game taking place in a fantastic world based on Greek mythology.",The player hears about the monsters and finds their source of Hades. The player travels to Rhodes and Hades to stop a Hades-born army. The player must find a way into the underworld to fight their way through the advancing horde.,"[12, 25]"
Titanic: Adventure Out of Time,1996,Cyberflix,"GTE Entertainment, Europress",7516,"Titanic: Adventure Out of Time is a computer game developed by Cyberflix. It was published in the United States and Europe by GTE Entertainment and Europress respectively, and released on November 12, 1996. The game is a point-and-click adventure game which sees the player traveling around a virtual representation of the RMS Titanic.Titanic: Adventure Out of Time comes in three versions: a PC, Macintosh, or hybrid version that works on both the Windows and Mac. Version 1.0 of the game is an upgrade of the game from GTE Entertainment to just Cyberflix and is a stability upgrade first released in 1997. It comes in either a threefold CD jacket or a jewel case version. The French and German version of the game comes in two paper sleeves. The Mac and Windows versions were released first, produced by Cyberflix and distributed by GTE Entertainment in 1996. Hybrid versions of the game, which are compatible with both the Mac and Windows operating systems, were distributed and produced by Cyberflix after GTE Entertainment went out of business in 1997. Later versions were distributed by Hammerhead Entertainment, who took over production after Cyberflix also went out of business in 1998. The game is available in seven languages: English, French, German, Dutch, Russian, Polish and Korean.Characters in Titanic: Adventure Out of Time were rendered by way of photographs of actors given limited animation in sync with dialogue. The producers of this game used this same style of rendering for a previous adventure entitled Dust: A Tale of the Wired West.","The game begins in April 1942 with the main character (whose name is Frank Carlson) being caught in an air raid during the London Blitz of World War II and being sent back in time to 1912 with an opportunity to change history. In 1912, he was a British secret agent on the RMS Titanic, who must retrieve a priceless copy of the Rubáiyát of Omar Khayyám and now has a second chance to complete his mission. The open-ended gameplay allows the player to either follow the storyline by solving puzzles or simply explore the rooms of the ship.The player's first mission is to locate and retrieve the The Rubáiyát, which is revealed to have been stolen earlier in the year and is now suspected of being in the possession of Zeitel, a German Oberst (Colonel) who is traveling on the Titanic in the manner of inspecting embassies in the United States and Central America. Traveling with the Colonel is his young protegé, Willi Von Haderlitz. It is revealed that the Colonel has made a deal with an art dealer from London named Sasha Barbicon to exchange The Rubáiyát for an apparently unimportant painting, in which there are hidden war plans stolen from the British government. They each act through an intermediary go-between, a Serbian stowaway named Vlad Demonic. In addition to The Rubáiyát and the painting, the player learns that Willi is a spy for the Russians and has a notebook with names of top Bolshevik leaders. The notebook must be handed over to the Ochrana so that Communist rebels will be executed, preventing a threat to the Czar. Barbicon is also in possession of a stolen diamond necklace that will finance a Serbian military group called the Black Hand.During his mission, the agent also becomes involved in several subplots which do not pertain to the central mission or, for that matter, the winning conditions of the game. One important subplot begins by meeting the ship’s 'gossip hound', in the form of a wealthy middle-aged spinster named Daisy Cashmore, who hands the player a note to meet with Andrew Conkling, the owner of Conkling Steel. Conkling tells the player to retrieve a business document that had been stolen by Shailagh Hacker, an Irish maid who had worked at his house in London. Other plots include meeting and helping the Lambeths, a wealthy couple whose marriage has deteriorated, as well as meeting with other passengers including Leyland Trask, a psychic from Boston; Reverend Edgar Troutt, a religious preacher from Sunapee, New Hampshire who is returning from an African mission in Nyasaland; and Max Seidelmann, an American freelance businessman from Philadelphia, who provides a back story and insight of varying value. Assisting the player from time to time is fellow agent Penny Pringle.The number of objects the player retrieves before escaping the ship affects the final cut scene and how history is played out. If the player manages to retrieve all four objects, history is altered with World War I, the Russian Revolution, and World War II never occurring — without The Rubáiyát and/or the diamonds, the Black Hand is not financed and their plan to assassinate Archduke Franz Ferdinand of Austria (which would have sparked World War I) fails. The painting Barbicon was going to trade in to Zeitel was actually painted by Adolf Hitler, and its fame after it is recovered from the sinking causes Hitler to become a famous artist, averting World War II (the war plans hidden in it are actually useless, and so whether or not they are found is irrelevant to history). The notebook with the names of the Bolsheviks makes its way to the Czar, and the Russian Revolution never occurs. With the world knowing peace and prosperity, the character retires after a successful career to a world of peace. Depending on which items the player fails to collect, history will change, but certain wars or revolutions will still occur: alternative endings exist where Germany conquers Russia and the United Kingdom, or the Soviet Union conquers Europe, to name two.","[2, 9, 13, 15, 31]"
TMNT,2007,Ubisoft Montreal,Ubisoft,146283,"TMNT is a beat 'em up video game developed by Ubisoft Montreal and published by Ubisoft for the Game Boy Advance handheld video game console. It is based off the 2007 CGI movie.The game was first released in North America on March 20, 2007, and was later released in Australia on March 22, 2007, and in Europe on March 23, 2007. It was one of the last games published for Game Boy Advance, at a time when the Nintendo DS was already halfway through the most prominent phase of its product life cycle.Another game with the same title was also released on the Xbox 360, Wii, PlayStation 2, GameCube, and PC, and the other handheld game on Nintendo DS, and PlayStation Portable video game consoles, though this version is vastly different from any of the others released, it being a 2.5-D side-scrolling beat-'em-up game involving no three-dimensional game play whatsoever.",The game's plot is based on the 2007 film TMNT.,[25]
TOCA Race Driver 3,2006,Codemasters,Codemasters,907,"TOCA Race Driver 3 (also known as DTM Race Driver 3 in Germany and V8 Supercars 3 in Australia) is the third title of TOCA racing video game series, developed and published by Codemasters. TOCA Race Driver 3 was released in Europe and North America on February 24, 2006. The game features several fully licenced championships, including the DTM series and V8 Supercar championship. It includes 120 Championships and 35 Types of Racing through the Championship in World Tour, Pro Career, and Free Race. Also it has Bonus Championships in different disciplines. They take place largely in the UK and Germany, though many more tracks are unlocked by winning cups in Pro Career, or by setting a lap time record on a course within Pro Career mode. Open wheel, GT, Oval racing, Rallying and Off-road racing were all featured, and can be raced in either a detailed Pro Career mode or an open-ended World Tour. Online play allows 12 and 8 players on Xbox and PlayStation 2, respectively. Currently, it is the only racing simulator for PlayStation 2 with an online racing mode. It received good reviews, frequently being compared favorably to Gran Turismo 4 and Forza Motorsport, in the aspects of cars on track, damage and AI.",,"[10, 14]"
ToeJam & Earl: Back in the Groove,2019,HumaNature Studios,Adult Swim Games,11122,"ToeJam and Earl have crash-landed back on Earth in ToeJam and Earl: Back in the Groove!, a funky fresh rogue-like adventure infused with old skool hip-hop and jam packed with awesome throwbacks to the 1991 classic. Original Funk Lord (and co-creator) Greg Johnson is back at the helm with the sequel that ToeJam and Earl fans have been waiting for!​The iconic ‘90s duo is back in the groove with all-new presents to help them navigate this wack planet """"Earth"""" and retrieve all the lost pieces to the Rapmaster Rocket. Team up for co-op play to discover secret locations, hidden presents and new friends as you make your way through a constantly changing and unpredictable world!​ToeJam and Earl: Back in the Groove! is a mash-up of the very bestfeatures of the classic console games with a ton of fresh improvements. Grab some homies and get ready for a blast of funky nostalgia as you help ToeJam and Earl return once again to Funkotron.",,"[7, 31, 32]"
Togainu no Chi,2005,Nitro+chiral,Nitro+chiral,17267,"Togainu no Chi (咎狗の血, lit. ""Blood of the Reprimanded Dog"") is a Japanese BL visual novel. Can you help Akira, numb from a lifetime of violence and isolation, forge the bonds he needs to survive a ruined Tokyo’s deadly underworld?","After being devastated in the third World War (known as The Third Division), Japan was divided in two. Several years after the end of the war, a crime organization called Vischio has taken control of the destroyed city of Toshima (formerly Tokyo, Japan's capital city), where they are holding a battle game known as Igura.    Igura is a battle game held in Toshima that may result in the murder of participants. To participate, one must meet with Arbitro and tell him their reason for their decision. Upon meeting with Arbitro, participants are given five dog tags, each engraved like a card in a standard deck of playing cards. One tag must hang from the participant's neck as proof of participation. Participants must then put their lives on the line to collect others' tags, with the goal being to collect a Royal Flush. If a participant collects a Royal Flush set of tags, they earn the right to challenge Il Re in battle. Battles end when one party either dies or lets their back touch the ground. The winner takes the loser's tags and is free to do as they please to the loser after that, often resulting in the loser's death.    The game's main character, a young man named Akira, is falsely accused of a crime. Once arrested, a mysterious woman appears before him, offering him freedom if he agrees to participate in Igura and defeat Igura's strongest man: the king, or Il Re. The story follows Akira's life in the harsh, lawless Toshima as he fights both to survive and to unravel the mysteries developing around him.",[34]
Tokimeki Memorial,1997,Konami,Konami,72984,"Tokimeki Memorial is the first in the long-running series of dating sims by Konami which started life on the PC Engine. Released in 1994, it boosted the popularity of the dating sim genre in Japan immensely.",,"[13, 34]"
Tom Clancy's EndWar,2008,Ubisoft Shanghai,Ubisoft,7468,"Live the thrilling career of an army commander and lead your army to victory in a massive online World War III! Take control of the U.S.-led Joint Strike Force, the European Enforcers Corps, or the Russian Spetsnaz Guards Brigade in a persistent ongoing World War. Create your army to match your tactical style and create a strategy that will defeat your enemies.You Are In ControlIn addition to traditional RTS controls (mouse selection, hotkeys), EndWar goes beyond other Real Time Strategy games by letting you use your own voice to control your units, offering you true control at the speed of thought.Putting You in the BattleInstead of using the traditional top-down view, EndWar employs a unique third-person camera that puts you in the heart of the battle, making the use of terrain and cover even more critical to achieving victory. Zoom in and out at will and watch the devastation unfold as hundreds of units engage the enemy on fully destructible battlefields.Armed for the FutureTrue to the Tom Clancy legacy, EndWar offers a wide range of vehicles, weapons and equipment based on real-world military research, giving you unprecedented access to the cutting-edge technology of tomorrows wars, such as drones and space-based weapons of mass destruction.Go to war online in a persistent multiplayer World War III with fully-customizable battalions and unitsRefined HUD and controls and new waypoint system, combined with EndWars proven revolutionary voice command system30 stunningly realistic real-world battlefields set in Europe and the United States, including Washington D.C., Paris, and MoscowDeeply customizable armies featuring unit ranks and hundreds of upgrades add up to endless replay value.Includes all the downloadable content released on consoles – maps, additional upgrades and battalions.Watch the destruction unfold in spectacular detail in massive battles featuring hundreds of units and destructible environments.",,"[11, 15, 16]"
Tom Clancy's Ghost Recon,2001,Red Storm Entertainment,Ubisoft,77978,"Two soldiers fight their way through the streets of a futuristic Northern Europe in this on rails, third person shooter for the Wii.",,[5]
Tom Clancy's Ghost Recon Advanced Warfighter,2006,Ubisoft Paris,Ubisoft,1300,"The year is 2013 and you play as Captain Mitchell, commander of a Ghost Recon team, on a mission in Mexico City where rebels are attempting a coup, putting Mexico and the USA in danger.To deal with the different situations you have to face, taking out AA-guns or defending injured personnel until the rescue team arrives, you do not only have access to top-notch weapons like the different versions of the MR-C, but also to futuristic equipment like a drone that flies over the battlefield to spot enemy units.",,"[5, 24]"
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Red Storm Entertainment,Ubisoft,1301,"Ubisoft's award-winning shooter that was founded on the PC returns with Tom Clancy's Ghost Recon Advanced Warfighter® 2, designed specifically for the PC gamer by GRIN. Building on the foundation of Ghost Recon Advanced Warfighter, the sequel is a near-future warfare masterpiece. Ghost Recon Advanced Warfighter 2 for the PC screams tactics, and you'll need to bring your best to bear if you are going to get the Ghosts past their latest challenge...It's 2014, and the soldier of the future returns to encounter a new and more imminent threat along the recently completed wall on the U.S./Mexico border. The Ghosts are more powerful with an upgraded Integrated Warfighter System (IWS), but will have only 72 hours to assess the threat and stop the rebels from reaching U.S. soil. With a border that's 1,900 miles long and an enemy that doesn't play by the rules, this is a job for the U.S. military's most elite fighting unit. This is a job for the Ghosts.",,"[5, 13, 15, 24]"
Tom Clancy's Ghost Recon: Island Thunder,2003,Red Storm Entertainment,Ubisoft,1296,"Ghost Recon takes the next step in battlefield realism with Tom Clancy's Ghost Recon: Island Thunder.  Cuba, 2009: Castro is dead, and the first free Cuban elections in decades are thrown into turmoil by a drug-funded warlord. The Ghosts, an elite team of U.S. Army Green Berets, are sent to Cuba as part of a UN peacekeeping force to destroy the rebel forces and their mercenary leaders and secure the elections for a free Cuba.","Havana, 2009. Castro is dead, and Cuba reels from a power vacuum. The ghosts - an elite team of U.S. Army Green Berets - are deployed. Their mission: halt a drug-funded warlord from sabotaging the island republic's first free elections in decades.","[5, 13, 15, 24]"
Tom Clancy's H.A.W.X,2009,Ubisoft Bucharest,Ubisoft,983,"The setting is 2012. As the era of the nation-state draws quickly to a close, the rules of warfare evolve even more rapidly. More and more nations become increasingly dependent on Private Military Companies (PMCs)  elite mercenaries with a lax view of the law. The Reykjavik Accords further legitimize their existence by authorizing their right to serve in every aspect of military operations. There goes the neighborhood...Tom Clancy's H.A.W.X. is primed to revolutionize the way we think about combat in the sky. Cutting-edge technology, devastating firepower, and intense dogfights award this new title a deserving place in the prestigious Tom Clancy Franchise. Soon, flying at Mach 3 becomes a right, not a privilege.",,"[5, 13]"
Tom Clancy's Politika,1997,Red Storm Entertainment,Red Storm Entertainment,1856,"The strategy game of political intrigue in modern day Russia.Yeltsin is dead! Russia in turmoil!Tom Clancy's pre-millennium Russia will challenge you to save a crumbling empire. President Boris Yeltsin has suddenly died without an obvious successor, leaving a power vacuum. You belong to one of the eight major factions including the KGB, Church and Mafia that have risen from the chaos and are competing to take control of one of the most powerful nations in the world.Whether playing against computer opponents or multiple human players online, you'll face constant uprisings, catastrophic events and shifting alliances to reach your ultimate goal- to become the new leader of Russia.",,[15]
Tom Clancy's Rainbow Six,1998,Red Storm Entertainment,Red Storm Entertainment,1842,"A combination of explosive action and real-life strategy!The most revolutionary action/strategy game of its kind. Nothing comes closer to offering an exciting combination of strategy, team-building, realistic three-dimensional graphics and true-to-life special forces action. The ultimate goal is to save yourself and the world from deadly terrorists. You must successfully complete 17 unique missions. If you die, the game isn't over. The World is.",,"[5, 13, 15, 24]"
Tom Clancy's Rainbow Six 3: Raven Shield,2003,"Ubisoft Montreal, Red Storm Entertainment",Ubisoft,908,"A tactical shooter with realistic properties, it adapts various features absent in previous installments of the franchise such as the ability to see one's weapon while in first-person view, many new weapons and upgrades, as well as a redesigned multiplayer.","In 1945, as two members of the Nazi-sponsored Ustashe regime in Croatia manage to escape the country with huge amounts of Holocaust-era loot just before Allied troops move into the capital. Sixty years later, in 2005, elite multinational counter-terrorism task-force Rainbow finds itself investigating a series of attacks by Neo-Fascist terrorists against South American oil interests and European financial institutions.","[5, 13, 24]"
Tom Clancy's Rainbow Six: Lockdown,2005,Red Storm Entertainment,Ubisoft,1851,"Engineered specifically for the PC by Red Storm Entertainment, Rainbow Six returns to deliver the tensest close-quarters battles ever experienced online. In this episode, Rainbow faces independent terrorist threats, tied together by one common element - the Legion virus. Rainbow must determine the connection between the terrorist threats and the virus.",,"[5, 24]"
Tom Clancy's Rainbow Six: Rogue Spear,1999,Red Storm Entertainment,Red Storm Entertainment,1843,"Following the collapse of the Soviet Union in 1991, the economic situation in Russia and the former Eastern Europe falls into chaos. Terrorism in the region is commonplace as people fight a seemingly endless stream of battles for supplies and other necessities. In this power vacuum though a dangerous a situation arises: the Russian mafia has begun buying up surplus military equipment with the assistance of current members of the Russian Army. During one such arms deal Rainbow forces raid the meeting grounds and recover weapons grade plutonium, tracing the fissile material to a nearby naval base.",,"[5, 13, 24]"
Tom Clancy's Rainbow Six: Take-Down – Missions in Korea,2001,Ubisoft,Kama Digital Entertainment,135591,"Tom Clancy's Rainbow Six: Take-Down – Missions in Korea is the third installment in the Tom Clancy's Rainbow Six Franchise, developed and published by Kama Digital Entertainment. It was released exclusively to South Korea.",,"[5, 24]"
Tom Clancy's Rainbow Six: Vegas,2006,Ubisoft Montreal,Ubisoft,909,Tom Clancy’s Rainbow Six makes its next-generation hardware debut in the most dramatic installment of the renowned first-person shooter franchise to date. Experience Las Vegas like never before – through revolutionary next-generation technology as you work against the clock to keep one of the world’s most recognizable cities from utter devastation.,"Rainbow operatives take to the chaotic streets of Las Vegas as an escalating terrorist siege in “Sin City” threatens to take world terrorism to new, uncontrollable heights. The future of global security hangs in the balance as you battle to defend classic Vegas locations and environments like Fremont Street, the Strip, and casinos.","[5, 24]"
Tom Clancy's Rainbow Six: Vegas 2,2008,Ubisoft Montreal,Ubisoft,1853,"Tom Clancy's Rainbow Six Vegas 2 - the sequel to the award-winning next-generation first-person shooter - returns to Sin City. Tom Clancy's Rainbow Six Vegas 2 is your last chance to rescue America's sexiest city from an escalating terrorist siege that will force you into heart-pounding action from beginning to end. The best are back and this time winner takes all.Recipient of numerous awards, including 2006 Best First Person Shooter and Best Online Game, Tom Clancy's Rainbow Six Vegas 2 pushes the top-selling franchise to new heights with new gameplay features and groundbreaking co-op and multiplayer modes.Ubisoft Montreal Returns - Rainbow Six Vegas 2 is back in the hands of Ubisoft's Montreal studio, creators of the award-winning and highly acclaimed Rainbow Six Vegas, to ensure that ending to the Vegas story is one you'll never forget.More Vegas - Sin City is back and bigger than before. Explore all new Vegas hot spots as the environment changes from dusk to bright daylight to dawn, creating a visual experience that is as challenging as it is breathtaking.More Multiplayer - The highly acclaimed multiplayer mode in Tom Clancy's Rainbow Six Vegas has been upgraded to include 11 new, smaller maps that force more intense face-offs, 2 new adversarial modes, more rewards, and easier access to matches using the improved and intuitive matchmaking system.Unprecedented Customizable Experience - Create your own identity that stays the same in both single player and multiplayer modes and progresses as you do. Reap the benefits of your single player rewards in multiplayer and vice versa.Vastly Improved Co-op mode - Turn single player mode into co-op mode at any time, just by jumping into the game. Now your friend can jump into your single player game and help you without any change to the story. Single player maps and storyline were created with co-op in mind, which means every map has multiple entry points and the story is the same.Improved AI - AI is more challenging than ever. Now, the terrorists are equipped with thermal vision, night vision, and shields - not to mention a multitude of varying reactions - all of which are guaranteed to give you a new playing experience every time you go into battle. As you progress within the game, you'll only be able to outsmart your enemies by taking advantage of intel opportunities, such as thermal scanning, and tactical strategies, such as leapfrogging.New Weapons and Armor - Take down the terrorists more effectively using 11 new weapons. New camouflage, clothing and gear allow you to take customization to the next level.",,"[5, 15, 24]"
Tom Clancy's ruthless.com,1998,Red Storm Entertainment,Red Storm Entertainment,1858,"This isn't business. This is war.How far will you go?The simultaneous turn-based strategy game that lets you build a corporation atop the bodies of your competition. Use thugs, hackers or the occasional lawyer to get what you want, the way you want. You don't need ethics, just greed, ego and a few wicked instincts.Ever thrown a lawyer off a pier? Hacked into a mainframe to swipe classified information? If not, then it's time you went into business with Tom Clancy's ruthless.com.Find out if you have what it takes not only to survive but to dominate in an industry of cutthroats and corporate raiders. You can forget about ethics- succeeding here means putting all your strategy skills into beefing up your bottom line. But don't worry. You'll have help. A vicious gallery of hackers, thugs and lawyers are waiting to carry out your every greedy whim. And if they fail you, fire them. Or fire at them.Just don't expect this to be some sissy business sim. You and up to five other competitors do whatever it takes to build a software empire. In the end, the only thing anyone will remember is who comes out on top.",,"[15, 16]"
