titles,released,developers,publishers
Golden Age of Racing,02-09-2005,Brain in a Jar,Midas Interactive Entertainment
The Golden Compass,30-11-2007,Shiny Entertainment,Sega
GoldenEye: Rogue Agent•GoldenEye: Dark AgentJP,22-11-2004,Electronic Arts,Electronic Arts
Golf Navigator Vol. 1,28-06-2001,Dual,Spike
Golf Navigator Vol. 2,28-06-2001,Dual,Spike
Golf Navigator Vol. 3,06-09-2001,Dual,Spike
Golf Navigator Vol. 4,20-09-2001,Dual,Spike
Golf Paradise DX,14-12-2000,T&E Soft,T&E Soft
Goosebumps HorrorLand,30-10-2008,Gusto Games,"Scholastic, Inc."
Gradius III and IV•Gradius III and IV: Fukkatsu no ShinwaJP,13-04-2000,Konami,Konami
Gradius V,22-07-2004,Konami,Konami
Graffiti Kingdom•Rakugaki Oukoku 2JP,22-09-2004,Taito,"TaitoJP, 505 Game StreetEU, Hot-BNA"
Gran Turismo 3 A-Spec,28-04-2001,Polyphony Digital,Sony Computer Entertainment
Gran Turismo 4,28-12-2004,Polyphony Digital,Sony Computer Entertainment
Gran Turismo 4 Prologue•Gran Turismo 4: Prologue EditionJP,04-12-2003,Polyphony Digital,Sony Computer Entertainment
Gran Turismo Concept: 2001 Tokyo,01-01-2002,Polyphony Digital,Sony Computer Entertainment
Gran Turismo Concept 2002 Tokyo-Geneva,19-07-2002,Polyphony Digital,Sony Computer Entertainment
Gran Turismo Concept 2002 Tokyo-Seoul,16-05-2002,Polyphony Digital,Sony Computer Entertainment
Grand Prix Challenge,22-11-2002,Infogrames Melbourne House,Infogrames
Grand Theft Auto III,22-10-2001,DMA Design,"Rockstar GamesNA, Take-Two InteractivePAL, CapcomJP"
Grand Theft Auto: Liberty City Stories,06-06-2006,Rockstar Leeds,"Rockstar GamesNA,PAL, CapcomJP"
Grand Theft Auto: San Andreas,26-10-2004,Rockstar North,"Rockstar GamesNA,PAL, CapcomJP"
Grand Theft Auto: Vice City,29-10-2002,Rockstar North,"Rockstar GamesNA,PAL, CapcomJP"
Grand Theft Auto: Vice City Stories,05-03-2007,Rockstar Leeds,"Rockstar GamesNA,PAL, CapcomJP"
Grandia II,28-01-2002,Game Arts,"UbisoftEU,NA, EnixJP"
Grandia III,04-08-2005,Game Arts,Square Enix
Grandia Xtreme,31-01-2002,Game Arts,Enix
Gravity Games Bike: Street. Vert. Dirt.,27-06-2002,Midway Games,Midway Games]
The Great British Football Quiz,07-10-2005,Liquid Games,Oxygen Games
The Great Escape•Daidassou: The Great EscapeJP,29-08-2003,Pivotal Games,"SCiEU, Gotham GamesNA, Marvelous EntertainmentJP"
Green Green: Kane no Oto Dynamic,24-04-2003,Success,Success
Green Green: Kane no Oto Romantic,24-04-2003,Success,Success
Greg Hastings Tournament Paintball MAX'D,26-09-2006,The Whole Experience,Activision
Gregory Horror Show•Gregory Horror Show: Soul CollectorJP,07-08-2003,Capcom,Capcom
Gretzky NHL 06,20-09-2005,Page 44 Studios,Sony Computer Entertainment
Gretzky NHL 2005,09-11-2004,Page 44 Studios,Sony Computer Entertainment
The Grim Adventures of Billy & Mandy,25-09-2006,High Voltage Software,Midway Games
GrimGrimoire,12-04-2007,Vanillaware,"Nippon Ichi SoftwareJP,KO, NIS AmericaNA, KoeiPAL"
Grooverider: Slot Car Racing,28-01-2005,King of the Jungle,Play It!
Growlanser II: The Sense of Justice,26-07-2001,Career Soft,Atlus
Growlanser III: The Dual Darkness,06-12-2001,Career Soft,Atlus
Growlanser IV: Wayfarer of the Time,18-12-2003,Career Soft,Atlus
Growlanser IV: Wayfarer of the Time - Return,10-03-2005,Career Soft,Atlus
Growlanser VI: Precarious World,21-06-2007,Career Soft,Atlus
Growlanser: Heritage of War•Growlanser V GenerationsJP,03-08-2006,Career Soft,"AtlusJP,NA, Rising Star GamesEU"
GT Racers,05-11-2004,Aqua Pacific,Oxygen Games
GT-R 400,25-06-2004,Kuju Entertainment,Midas Interactive Entertainment
GT-R Touring,11-10-2006,Kuju Entertainment,Midas Interactive Entertainment
Guardian Angel,27-02-2003,Vridge,Datam Polystar
Guerrilla Strike,06--2006,Phoenix Games,Phoenix Games
Guilty Gear Isuka,29-07-2004,Arc System Works,"Sammy StudiosJP,NA, 505 Game StreetEU"
Guilty Gear X,30-09-2001,Arc System Works,"Sammy StudiosNA, Virgin InteractiveEU"
Guilty Gear X Plus,29-11-2001,Arc System Works,Sammy Studios
Guilty Gear X2•Guilty Gear XX: The Midnight CarnivalJP,12-12-2002,Arc System Works,Sammy Studios
Guilty Gear X2 #Reload•Guilty Gear XX: The Midnight Carnival #ReloadJP,31-07-2003,Arc System Works,"Sammy StudiosJP,KO, Zoo Digital PublishingEU"
Guilty Gear XX: Accent Core,31-05-2007,Arc System Works,"Arc System WorksNA, Aksys GamesNA"
Guilty Gear XX: Accent Core Plus,27-03-2008,Arc System Works,"Arc System WorksJP, Aksys GamesNA, PQubeEU"
Guilty Gear XX: Slash,13-04-2006,Arc System Works,Sega
Guisard Revolution: Bokura wa Omoi o Mi ni Matou,03-03-2005,KID,KID
GuitarFreaks 3rd Mix & DrumMania 2nd Mix,07-12-2000,Konami,Konami
GuitarFreaks & DrumMania: Masterpiece Gold,08-03-2007,Konami,Konami
GuitarFreaks & DrumMania: Masterpiece Silver,31-08-2006,Konami,Konami
GuitarFreaks V & DrumMania V,16-03-2006,Konami,Konami
GuitarFreaks V2 & DrumMania V2,22-11-2006,Konami,Konami
GuitarFreaks V3 & DrumMania V3,04-10-2007,Konami,Konami
Guitar Hero,07-11-2005,Harmonix,RedOctane
Guitar Hero II,07-11-2006,Harmonix,"RedOctaneEU,NA, ActivisionAU"
Guitar Hero III: Legends of Rock,28-10-2007,Neversoft,"RedOctaneNA, ActivisionJP,PAL"
Guitar Hero 5,01-09-2009,Budcat Creations,Activision
Guitar Hero: Aerosmith,27-06-2008,Budcat Creations,Activision
Guitar Hero Encore: Rocks the 80s,24-07-2007,Harmonix,Activision
Guitar Hero: Metallica,14-04-2009,Neversoft,Activision
Guitar Hero Smash Hits•Guitar Hero: Greatest HitsPAL,16-06-2009,Beenox,Activision
Guitar Hero: Van Halen,22-12-2009,Neversoft,Activision
Guitar Hero World Tour,26-10-2008,Budcat Creations,Activision
Gumball 3000,20-09-2002,Climax Studios,SCi Entertainment
Gun,08-11-2005,Neversoft,Activision
Gunbird Special Edition•Gunbird 1 & 2 JP•Gunbird Premium PackageKO,19-02-2004,Neversoft,Activision
Guncom 2•Death Crimson OX+JP,27-11-2003,Ecole Software,"Ecole SoftwareJP, Play It!EU"
Gundam Musou Special,28-02-2008,Koei,Namco
Gunfighter II: Revenge of Jesse James,28-03-2003,Rebellion Developments,Ubisoft
Gungrave,18-07-2002,Red Entertainment,Sega
Gungrave: Overdose•Gungrave ODJP,04-03-2004,Red Entertainment,"Red EntertainmentJP, MastiffNA, Play It!EU"
Gungriffon Blaze,10-08-2000,Game Arts,"CapcomJP, Working DesignsNA, Swing! DeutschlandEU"
Gunparade Orchestra: Ao no Shou,20-07-2006,Alfa System,Sony Computer Entertainment
Gunparade Orchestra: Midori no Shou,30-03-2006,Alfa System,Sony Computer Entertainment
Gunparade Orchestra: Shiro no Shou,12-01-2006,Alfa System,Sony Computer Entertainment
Gunslinger Girl Volume I,08-04-2004,Marvelous Entertainment,Bandai
Gunslinger Girl Volume II,17-06-2004,Marvelous Entertainment,Bandai
Gunslinger Girl Volume III,19-08-2004,Marvelous Entertainment,Bandai
Gunvari Collection + Time Crisis,12-12-2002,Namco,Namco
Guts da!! Mori no Ishimatsu,31-03-2005,Aruze Corporation,Aruze Corporation
The Guy Game,31-08-2004,Topheavy Studios,Gathering of Developers
H2O+: Footprints in the Sand,24-04-2008,Makura,Regista
Habitrail Hamster Ball,05--2005,Data Design Interactive,Phoenix Games
Hachi-One Diver,17-09-2009,SilverStar,SilverStar
Hai-Shin 3,19-12-2002,DigiCube,DigiCube
Hajime no Ippo 2: Victorious Road,29-01-2004,ESP Software,ESP Software
Hajime no Ippo: Victorious Boxers - Championship Version,27-06-2002,ESP Software,ESP Software
The Hajimete no RPG•Simple 2000 Series Vol. 44: The Hajimete no RPGJP,29-01-2004,HuneX,D3 Publisher
Hakarena Heart: Kimi ga Tame ni Kagayaki o,13-12-2007,Russel,Russel
Hakoniwa Tetsudou: Blue Train Tokkyuuhen,30-05-2002,Success,Success
Hakuouki,18-09-2008,Idea Factory,Idea Factory
Hakuouki: Reimeiroku,28-10-2010,Idea Factory,Idea Factory
Hakuouki: Zuisouroku,27-08-2009,Idea Factory,Idea Factory
Hakushaku to Yousei: Yume to Kizuna ni Omoi Hasete,30-04-2009,5pb,5pb
Half-Life,11-11-2001,Gearbox Software,Sierra Entertainment
Hametsu no Mars,26-05-2005,Design Factory,Idea Factory
Hamster Heroes,15-07-2005,Data Design Interactive,Metro3D
Hana to Otome ni Shukufuku o: Harukaze no Okurimono,08-07-2010,Alchemist,Alchemist
Hana to Taiyou to Ame to,02-05-2001,Grasshopper Manufacture,Victor Interactive Software
Hanabi Hyakkei,30-10-2003,Aruze Corporation,Nippon Amuse
Hanabi Shokunin Ninarou 2,26-06-2003,Mahou,Mahou
Hanafuda•SuperLite 2000 Table: HanafudaJP,13-05-2004,Success,Success
Hanakisou,06-07-2006,HaccaWorks,Prototype
The Hanasou Eigo no Tabi•Simple 2000 Series Vol. 76: The Hanasou Eigo no TabiJP,14-04-2005,HuneX,D3 Publisher
The Hanasou Kankokugo no Tabi•Simple 2000 Series Vol. 77: The Hanasou Kankokugo no TabiJP,14-04-2005,HuneX,D3 Publisher
Hanayoi Romanesque: Ai to Kanashimi Sore wa Kimi no Tame no Aria,29-05-2008,Vridge,Marvelous Entertainment
Hanjuku Eiyuu 4: 7-Jin no Hanjuku Eiyuu,26-05-2005,Square Enix,Square Enix
Hanjuku Eiyuu Tai 3D,26-06-2003,Square Enix,Square Enix
Hannspree Ten Kate Honda SBK•SBK-07 Superbike World ChampionshipEU•SBK: Superbike World Championship 2007AU,18-05-2007,Milestone srl,"Black Bean GamesPAL, Valcon GamesNA"
Hansel & Gretel,24-11-2006,Phoenix Games,Phoenix Games
Hanuman: Boy Warrior,25-03-2009,Aurona,Sony Computer Entertainment Europe
Happiness! De-Lucks,25-01-2007,Marvelous Entertainment,Marvelous Entertainment
Happy Breeding: Cheerful Party,27-02-2003,PrincessSoft,PrincessSoft
Happy Feet,14-11-2006,A2M,Midway Games
Happy! Happy!! Boarders in Hokkaido,14-12-2000,Racjin,Atlus
Hard Hitter Tennis•Magical Sports: Hard Hitter 2JP•Hard Hitter 2EU,07-02-2002,Magical Company,"MahouJP, AtlusNA, Midas Interactive EntertainmentEU"
Hard Knock High•Simple 2000 Series Vol. 107: The Honoo no Kakutou BanchouJP,14-09-2006,Opus,"D3 PublisherJP, Essential GamesEU"
Hard Rock Casino,27-11-2006,FarSight Studios,"Crave EntertainmentNA, Oxygen GamesPAL"
Hardware: Online Arena,07-11-2003,London Studio,Sony Computer Entertainment Europe
Harley-Davidson Motorcycles: Race to the Rally,27-11-2006,FUN Labs,Activision
Harry Potter and the Chamber of Secrets•Harry Potter to Himitsu no HeyaJP,05-11-2002,Eurocom,Electronic Arts
Harry Potter and the Goblet of Fire,08-11-2005,EA UK,Electronic Arts
Harry Potter and the Half-Blood Prince,30-06-2009,EA Bright Light,Electronic Arts
Harry Potter and the Order of the Phoenix•Harry Potter to Fushichou no KishidanJP,25-06-2007,Electronic Arts,Electronic Arts
Harry Potter and the Prisoner of Azkaban•Harry Potter to Azkaban no ShuujinJP,29-05-2004,Electronic Arts,Electronic Arts
Harry Potter and the Sorcerer's Stone•Harry Potter and the Philosopher's StoneEU•Harry Potter to Kenja no IshiJP,09-12-2003,Warthog,Electronic Arts
Harry Potter: Quidditch World Cup,28-10-2003,EA UK,Electronic Arts
Haru no Ashioto: Step of Spring,06-04-2006,Alchemist,Alchemist
Harukanaru Toki no Naka de 2•Harukanaru Toki no Naka de 2 + 1JP,28-02-2002,Koei,Koei
Harukanaru Toki no Naka de 3,22-12-2004,Koei,Koei
Harukanaru Toki no Naka de 3: Izayoiki,22-09-2005,Koei,Koei
Harukanaru Toki no Naka de 3: Unmei no Labyrinth,23-03-2006,Koei,Koei
Harukanaru Toki no Naka de 4,19-06-2008,Koei,Koei
Harukanaru Toki no Naka de: Hachiyoushou,01-04-2005,Koei,Koei
Harukanaru Toki no Naka de: Maihitoyo,21-09-2006,Koei,Koei
Harukanaru Toki no Naka de: Yumenoukihashi Special,29-01-2009,Koei,Koei
Harvest Moon: A Wonderful Life•Bokujou Monogatari: Oh! Wonderful LifeJP,11-11-2004,Tose,"Marvelous EntertainmentJP, NatsumeNA, 505 Game StreetEU"
Harvest Moon: Save the Homeland•Bokujou Monogatari 3: Heart ni Hi o TsuketeJP,22-11-2001,Victor Interactive Software,"Victor Interactive SoftwareJP, NatsumeNA"
Harvey Birdman: Attorney at Law,08-01-2008,High Voltage Software,Capcom
Hasbro Family Game Night,11-11-2008,EA Bright Light,Electronic Arts
Hatsukoi: First Kiss,30-06-2005,PrincessSoft,PrincessSoft
The Haunted Mansion,14-10-2003,High Voltage Software,"TDK MediactiveNA/EU, Yuke'sJP"
Haunting Ground•DementoJP,21-04-2005,Capcom,Capcom
Haven: Call of the King,17-11-2002,Traveller's Tales,Midway Games
Hawk-Kawasaki Racing,11-10-2006,Infusion Games,Midas Interactive Entertainment
Hayarigami 2: Keishichou Kaii Jiken File,15-11-2007,Nippon Ichi Software,Nippon Ichi Software
Hayarigami: Keishichou Kaii Jiken File,05-08-2004,Nippon Ichi Software,Nippon Ichi Software
Hayarigami Revenge: Keishichou Kaii Jiken File,14-07-2005,Nippon Ichi Software,Nippon Ichi Software
Headhunter,22-03-2002,Amuze,"Sony Computer Entertainment EuropeEU, Acclaim EntertainmentNA"
Headhunter: Redemption,27-08-2004,Amuze,Sega
Heart no Kuni no Alice: Wonderful Wonder World,18-09-2008,Quinrose,Prototype
Heartbeat Boxing•Simple 2000 Ultimate Series Vol. 6: Love * Upper!JP,27-02-2003,Tamsoft,"D3 PublisherJP, AgetecEU"
Heatseeker,30-03-2007,IR Gurus,Codemasters
Heavenly Guardian•Legend of SayukiEU•Yukinko Daisenpuu: Saiyuki to Koyuki no Hie Hie DaisoudouJP,26-02-2008,Starfish SD,"Starfish SDJP, UFO Interactive GamesNA, 505 Game StreetEU"
Heavy Metal Thunder,01-09-2005,Media Vision,Square Enix
Heisei Bakutoden•SuperLite 2000 Puzzle: Heisei BakutodenJP,11-11-2004,Kouyousha,Success
Hello Kitty: Minna de Sugoroku•Simple 2000 Hello Kitty Series Vol. 2: Minna de SugorokuJP,14-11-2002,Atelier Double,D3 Publisher
Hello Kitty: Roller Rescue•Hello Kitty no PikoPiko DaisakusenJP,28-04-2005,XPEC Entertainment,"HamsterJP, XplosivPAL"
Hello Kitty: Starlight Puzzle•Simple 2000 Hello Kitty Series Vol. 1: Starlight PuzzleJP,14-11-2002,Atelier Double,D3 Publisher
Heracles: Battle with the Gods,10-03-2006,Neko Entertainment,Midas Interactive Entertainment
Heracles: Chariot Racing,27-06-2007,Neko Entertainment,Midas Interactive Entertainment
Herdy Gerdy,22-02-2002,Core Design,Eidos Interactive
Hermina to Culus,20-12-2001,Gust,Gust
Heroes of Might and Magic: Quest for the Dragon Bone Staff,18-04-2001,New World Computing,3DO
Heroes of the Pacific,23-09-2005,Transmission Games,"CodemastersEU, UbisoftNA"
Hidden Invasion,07-12-2001,Toka,"Swing! DeutschlandEU, Conspiracy EntertainmentNA"
Higanbana,26-12-2002,Sammy Studios,Sammy Studios
High Heat Major League Baseball 2002,27-03-2001,3DO,3DO
High Heat Major League Baseball 2003,09-02-2002,3DO,3DO
High Heat Major League Baseball 2004,20-02-2003,3DO,3DO
High Rollers Casino,10-11-2004,Virtual Toys,Mud Duck Productions
High School Musical 3: Senior Year DANCE!,28-10-2008,Page 44 Studios,Disney Interactive Studios
High School Musical: Sing It!,30-10-2007,Artificial Mind and Movement,Disney Interactive Studios
Higurashi no Naku Koro ni Matsuri,22-02-2007,07th Expansion,Alchemist
Higurashi no Naku Koro ni Matsuri: Kakera Asobi,20-12-2007,07th Expansion,Alchemist
Hiiro no Kakera•Hiiro no Kakera: AizoubanJP,06-07-2006,Design Factory,Idea Factory
Hiiro no Kakera: Ano Sora no Shita de,15-02-2007,Design Factory,Idea Factory
Hiiro no Kakera: Shin Tamayori Hime Denshou,01-10-2009,Design Factory,Idea Factory
Himehibi: New Princess Days!! Zoku! Ni-Gakki,25-06-2009,Takuyo,Takuyo
HimeHibi: Princess Days,28-12-2006,Takuyo,Takuyo
Hissatsu Pachi-Slot Evolution: Ninja Hattori-Kun V,22-12-2005,SunSoft,SunSoft
Hissatsu Pachinko Evolution 2: Osomatsu-Kun,02-03-2006,SunSoft,SunSoft
Hissatsu Pachinko Station V: Honoo no Bakushougun,07-06-2001,SunSoft,SunSoft
Hissatsu Pachinko Station V2,12-07-2001,SunSoft,SunSoft
Hissatsu Pachinko Station V3,25-04-2002,SunSoft,SunSoft
Hissatsu Pachinko Station V4,22-08-2002,SunSoft,SunSoft
Hissatsu Pachinko Station V5,31-10-2002,SunSoft,SunSoft
Hissatsu Pachinko Station V6,05-12-2002,SunSoft,SunSoft
Hissatsu Pachinko Station V7,22-05-2003,SunSoft,SunSoft
Hissatsu Pachinko Station V8,20-11-2003,SunSoft,SunSoft
Hissatsu Pachinko Station V9: Osomatsu-kun,24-02-2005,SunSoft,SunSoft
Hissatsu Pachinko Station V10,17-03-2005,SunSoft,SunSoft
Hissatsu Pachinko Station V11,29-09-2005,SunSoft,SunSoft
Hissatsu Ura-Kagyou,22-09-2005,Lightweight,Genki
Hisshou Pachinko Kouryoku Series Vol. 1: CR Shinseiki Evangelion,20-10-2005,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 2: Bomber Powerful & Yume Yume World DX,12-01-2006,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 3: CR Marilyn Monroe,23-02-2006,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 4: CR Ashita Gaarusa Yoshimoto World,25-05-2006,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 5: CR Shinseiki Evangelion 2nd Impact * Pachi-Slot Shinseiki Evangelion,08-06-2006,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 6: 7Cafe Keishikina Bomber Powerful 2,03-08-2006,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 7: CR Fever Powerful Zero,26-10-2006,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 8: CR Matsura Aya,30-11-2006,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 9: CR Fever Captain Harlock,08-03-2007,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 10: CR Shinseiki Evangelion: Kiseki no Kachi,07-06-2007,D3 Publisher,D3 Publisher
"Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 11: Shinseiki Evangelion – Magokoro o, Kimi ni",27-09-2007,D3 Publisher,D3 Publisher
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion – Shito, Futatabi",26-06-2008,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion – Yakusoku no Toki,18-12-2008,D3 Publisher,D3 Publisher
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,30-07-2009,D3 Publisher,D3 Publisher
The History Channel: Battle for the Pacific,04-12-2007,Sand Grain Studios,Activision
The History Channel: Civil War - A Nation Divided,07-11-2006,Cauldron,Activision
The History Channel: Civil War: Secret Missions,04-11-2008,Cauldron,Activision
The History Channel: Great Battles of Rome,08-06-2007,Slitherine,Black Bean Games
Hisui no Shizuku: Hiiro no Kakera 2,09-08-2007,Design Factory,Idea Factory
Hitman 2: Silent Assassin,01-10-2002,IO Interactive,Eidos Interactive
Hitman: Blood Money,26-05-2006,IO Interactive,Eidos Interactive
Hitman: Contracts,20-04-2004,IO Interactive,Eidos Interactive
The Hobbit•Hobbit no Bouken: Hajimari no BoukenJP,11-11-2003,Inevitable Entertainment,"Sierra EntertainmentEU,NA, KonamiJP"
Hokenshitsu e Youkoso,30-11-2006,PrincessSoft,PrincessSoft
Hokkahoka Sentou,25-07-2002,Tecmo,Tecmo
Hokuto no Ken,27-03-2007,Arc System Works,Sega
Home Alone,29-11-2006,Coyote Console,Blast! Entertainment Ltd
Home Maid: Owari no Tachi,02-06-2005,PrincessSoft,PrincessSoft
Homerun•Magical Sports 2001 Pro YakyuuJP,16-08-2001,Mahou,Mahou
Homura,01-12-2005,Skonec,"TaitoJP, 505 Game StreetEU"
Honkakuha 2000 Series: 3D Mahjong + Janpai Tori,16-11-2006,Magnolia,Magnolia
Honkakuteki Pachinko Jikki Kouryaku Series: Milky Bar and Kirakuin,19-07-2001,Unbalance,Unbalance
Honoo no Takuhaibin,19-10-2006,Success,Success
Hooligan: Kimi no Naka no Yuuki,29-08-2002,Frontwing,Pacific Century Cyber Works
Hoppie,06--2006,Phoenix Games,Phoenix Games
Horse Breaker,02-08-2001,Koei/Inis,Koei
Horsez•Pippa Funnell: Take the ReinsUK•Alexandra Ledermann: School of ChampionsFR,27-10-2006,MTO,Ubisoft
Hoshi Furu,31-07-2008,Piacci,Piacci
Hoshi no Furu Toki,22-09-2005,Design Factory,Idea Factory
Hoshigari Empusa,17-04-2008,Takuyo,Takuyo
Hoshiiro no Okurimono,08-11-2007,Takuyo,Takuyo
Hot Shots Golf 3•Minna no Golf 3JP,26-07-2001,Clap Hanz,Sony Computer Entertainment
Hot Shots Golf Fore!•Everybody's GolfEU•Minna no Golf 4JP•Everybody's Golf 4KO,27-11-2003,Clap Hanz,Sony Computer Entertainment
Hot Shots Golf Online•Minna no Golf OnlineJP,12-06-2003,Clap Hanz,Sony Computer Entertainment
Hot Shots Tennis•Everybody's TennisPAL•Minna no TennisJP,14-09-2006,Clap Hanz,Sony Computer Entertainment
Hot Wheels: Beat That!,25-09-2007,Eutechnyx,Activision
Hot Wheels: Stunt Track Challenge,10-11-2004,Climax Group,THQ
Hot Wheels Velocity X,11-11-2002,Beyond Games,THQ
Hot Wheels World Race,29-10-2003,Climax Group,THQ
Houkago no Love Beat•Simple 2000 Ultimate Series Vol. 27: Houkago no Love BeatJP,10-06-2004,HuneX,D3 Publisher
Houkago wa Gin no Shirabe,28-02-2008,Fupac,Dimple Entertainment
Houshin Engi 2,27-06-2002,Koei,Koei
Hresvelgr,22-06-2000,Gust,Gust
HSX HyperSonic.Xtreme•G-SurfersEU,25-01-2002,Blade Interactive,"Midas Interactive EntertainmentEU, Majesco EntertainmentNA"
Hudson Selection Vol. 3: PC Genjin,04-12-2003,Hudson Soft,Hudson Soft
Hudson Selection Vol. 4: Takahashi Meijin no Bouken Jima,18-12-2003,Hudson Soft,Hudson Soft
Hugo: Bukkazoom!,28-11-2003,ITE Media,ITE Media
Hugo: Cannon Cruise,03-11-2004,ITE Media,ITE Media
Hugo: Magic In The Troll Woods,27-11-2009,Attractive Games,Rough Trade (PlayStation 2 game designer)Rough Trade
Hulk,28-05-2003,Radical Entertainment,"Universal InteractiveEU,NA, CyberFrontJP"
Hummer Badlands,13-04-2006,Eutechnyx,"Global Star SoftwareNA, 2K GamesEU"
Hungry Ghosts (PlayStation 2 game)Hungry Ghosts,31-07-2003,Deep Space,Sony Computer Entertainment
Hunter: The Reckoning: Wayward,09-09-2003,High Voltage Software,Vivendi Universal Games
Hunter X Hunter: Ryumyaku no Saidan,30-08-2001,Konami,Konami
The Hustle: Detroit Streets,26-04-2006,Blade Interactive,Activision
Hyakko: Yorozuya Jikenbo!,09-04-2009,5pb,5pb
